ligand,best_ddg,ddg_rank,ddg_percentile,best_interaction,interaction_rank,interaction_percentile,best_real_motif_count,real_motif_count_rank,real_motif_count_percentile,best_real_motif_ratio,real_motif_ratio_rank,real_motif_ratio_percentile,
Z5185631911,-18.333404,385,0.040293040293040296,11.0,212,0.02218733647305076,5.0,109,0.01140763997906855,1.0,1,0.00010465724751439037,
Z1907784975,-17.841023,571,0.0597592883307169,12.0,12,0.0012558869701726845,5.0,109,0.01140763997906855,1.0,1,0.00010465724751439037,
Z2732986066,-16.159082,1784,0.1867085295656724,10.0,1660,0.17373103087388803,5.0,109,0.01140763997906855,1.0,1,0.00010465724751439037,
Z5185631889,-15.80763,2143,0.22428048142333856,11.0,212,0.02218733647305076,5.0,109,0.01140763997906855,1.0,1,0.00010465724751439037,
Z5348530741,-14.321515,4075,0.42647828362114076,9.0,4542,0.4753532182103611,4.0,869,0.09094714809000523,1.0,1,0.00010465724751439037,
Z5348530683,-14.115567,4372,0.4575614861329147,8.0,6939,0.7262166405023548,6.0,10,0.0010465724751439038,1.0,1,0.00010465724751439037,
Z4324535763,-14.044596,4476,0.4684458398744113,10.0,1660,0.17373103087388803,4.0,869,0.09094714809000523,0.8,2362,0.24720041862899006,
Z3343635604,-13.99539,4541,0.4752485609628467,10.0,1660,0.17373103087388803,3.0,3201,0.3350078492935636,0.666667,3970,0.41548927263212976,
Z5348530222,-12.318581,6900,0.7221350078492935,9.0,4542,0.4753532182103611,3.0,3201,0.3350078492935636,0.666667,3970,0.41548927263212976,
Z5348530626,-11.092836,8303,0.8689691261119833,8.0,6939,0.7262166405023548,2.0,6380,0.6677132391418106,0.4,7722,0.8081632653061225,
