res_type,4s0v_original,4s0v,delta
ARG,328,427,-99
ARG,339,436,-97
ASN,324,423,-99
ASP,115,66,49
ASP,211,153,58
CYS,107,58,49
CYS,210,152,58
GLN,134,85,49
GLN,187,134,53
GLU,212,154,58
GLU,118,69,49
HIS,224,166,58
HIS,350,447,-97
ILE,130,81,49
ILE,320,419,-99
LYS,327,426,-99
MET,184,131,53
MET,191,138,53
PHE,227,169,58
PHE,228,170,58
PHE,333,432,-99
PHE,346,443,-97
PRO,131,82,49
SER,321,420,-99
THR,111,62,49
THR,135,86,49
THR,231,173,58
TRP,120,71,49
TYR,223,165,58
TYR,317,416,-99
TYR,343,440,-97
TYR,354,451,-97
VAL,114,65,49
VAL,138,89,49
VAL,196,143,53
VAL,209,151,58
VAL,342,439,-97
VAL,353,450,-97
