,4S0V_6566,4S0V_3547,4S0V_5682,4S0V_8519,4S0V_0889,4S0V_5299,7L1U_5262,4S0V_suvorexant,5WQC_EMPA,6TPN_HTL6641,7XRR_lemborexant,7L1V_agonist,7SR8_TAK-925
4S0V_6566,1.0,0.16666666666666666,0.4,0.5,0.375,0.23076923076923078,0.17647058823529413,0.16666666666666666,0.2222222222222222,0.25,0.1875,0.2,0.1875
4S0V_3547,0.16666666666666666,1.0,0.2222222222222222,0.2,0.14285714285714285,0.1111111111111111,0.2727272727272727,0.36363636363636365,0.23076923076923078,0.4,0.4444444444444444,0.2857142857142857,0.4444444444444444
4S0V_5682,0.4,0.2222222222222222,1.0,0.3684210526315789,0.25,0.14285714285714285,0.3333333333333333,0.38095238095238093,0.36363636363636365,0.47368421052631576,0.35,0.391304347826087,0.42105263157894735
4S0V_8519,0.5,0.2,0.3684210526315789,1.0,0.17647058823529413,0.16666666666666666,0.2857142857142857,0.35714285714285715,0.3333333333333333,0.5,0.3076923076923077,0.2222222222222222,0.3076923076923077
4S0V_0889,0.375,0.14285714285714285,0.25,0.17647058823529413,1.0,0.2,0.15789473684210525,0.21052631578947367,0.2,0.15789473684210525,0.3125,0.3,0.16666666666666666
4S0V_5299,0.23076923076923078,0.1111111111111111,0.14285714285714285,0.16666666666666666,0.2,1.0,0.14285714285714285,0.21428571428571427,0.2,0.14285714285714285,0.25,0.25,0.25
7L1U_5262,0.17647058823529413,0.2727272727272727,0.3333333333333333,0.2857142857142857,0.15789473684210525,0.14285714285714285,1.0,0.4,0.375,0.5384615384615384,0.46153846153846156,0.4117647058823529,0.46153846153846156
4S0V_suvorexant,0.16666666666666666,0.36363636363636365,0.38095238095238093,0.35714285714285715,0.21052631578947367,0.21428571428571427,0.4,1.0,0.7692307692307693,0.6153846153846154,0.6666666666666666,0.47058823529411764,0.5384615384615384
5WQC_EMPA,0.2222222222222222,0.23076923076923078,0.36363636363636365,0.3333333333333333,0.2,0.2,0.375,0.7692307692307693,1.0,0.5714285714285714,0.5,0.5294117647058824,0.5
6TPN_HTL6641,0.25,0.4,0.47368421052631576,0.5,0.15789473684210525,0.14285714285714285,0.5384615384615384,0.6153846153846154,0.5714285714285714,1.0,0.5833333333333334,0.5,0.7272727272727273
7XRR_lemborexant,0.1875,0.4444444444444444,0.35,0.3076923076923077,0.3125,0.25,0.46153846153846156,0.6666666666666666,0.5,0.5833333333333334,1.0,0.6428571428571429,0.6363636363636364
7L1V_agonist,0.2,0.2857142857142857,0.391304347826087,0.2222222222222222,0.3,0.25,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.5,0.6428571428571429,1.0,0.6428571428571429
7SR8_TAK-925,0.1875,0.4444444444444444,0.42105263157894735,0.3076923076923077,0.16666666666666666,0.25,0.46153846153846156,0.5384615384615384,0.5,0.7272727272727273,0.6363636363636364,0.6428571428571429,1.0
