	dmso_wt	dmso_het
0	59.61666666666667	12.6
1	6.8	10.166666666666666
2	6.916666666666667	83.7
3	8.75	10.216666666666667
4	26.35	40.46666666666667
5	36.583333333333336	115.65
6	92.11666666666666	23.816666666666666
7	8.5	35.833333333333336
8	22.25	21.2
9	18.083333333333332	67.25
10	23.083333333333332	28.833333333333332
11	23.833333333333332	10.15
12	18.933333333333334	115.05
13	21.266666666666666	37.333333333333336
14	15.0	30.3
15	12.383333333333333	63.31666666666667
16	21.583333333333332	8.266666666666667
17	34.95	48.88333333333333
18	22.633333333333333	77.51666666666667
19	10.283333333333333	9.4
20	10.033333333333333	
21	15.483333333333333	
22	11.65	
23	18.133333333333333	
24	14.55	
25	9.266666666666667	
