	drug	dmso
0	641.5	321.35714285714283
1	610.8571428571429	667.7857142857143
2	1615.0	751.8571428571429
3	1010.4285714285714	762.9285714285714
4	239.5	583.7857142857143
5	375.5	1363.2857142857142
6	1608.2142857142858	1454.0714285714287
7	1115.357142857143	611.1428571428571
8	1459.2142857142858	787.0
9	787.7142857142857	573.9285714285714
10	1109.7142857142858	1087.0714285714287
11	1330.5	1374.642857142857
12	2290.4285714285716	963.7857142857143
13	297.2142857142857	555.4285714285714
14	881.2142857142857	
15	808.6428571428571	
