	dmso	dmso
0	203.28571428571428	332.92857142857144
1	372.85714285714283	361.07142857142856
2	340.0	889.2857142857143
3	245.64285714285714	889.9285714285714
4	239.64285714285714	542.6428571428571
5	827.6428571428571	599.8571428571429
6	1233.9285714285713	626.8571428571429
7	350.14285714285717	499.2142857142857
8	569.5714285714286	1258.0714285714287
9	447.5	1610.357142857143
10	489.07142857142856	1697.9285714285713
11	361.64285714285717	1866.2142857142858
12	925.8571428571429	1831.642857142857
13	228.85714285714286	1516.7142857142858
14	1120.4285714285713	1617.2857142857142
15	778.6428571428571	1037.7142857142858
16	208.21428571428572	2392.214285714286
17	1319.5714285714287	1041.142857142857
18	980.6428571428571	928.0
19	219.21428571428572	
20	1532.5	
21	347.64285714285717	
22	2594.8571428571427	
23	1675.2142857142858	
24	832.6428571428571	
