	dmso-wt	dmso-mut
0	0.1704589620455369	0.12443050111672249
1	0.19155611745644036	0.13428590712094232
2	0.16180954235199993	0.15316552226183475
3	0.1124153709177192	0.13513519205157173
4	0.12043003193316565	0.1758934453760843
5	0.14767256342112728	0.15262266191707952
6	0.1610908508442816	0.14684438494865448
7	0.15970643392923684	0.14689404233713374
8	0.16080193901388573	0.13420903341168353
9	0.13544173886652347	0.14415171741996313
10	0.12561568464147166	0.1290121191580171
11	0.15072168427521176	
12	0.11775752846161902	
13	0.1565731997550314	
