	dmso-het	dmso-mut
0	0.9343233013076432	1.5633451000935663
1	1.497968447318092	2.0296077617102735
2	1.9639705223308526	1.641789567501831
3	1.4808299401198766	1.3622260968453366
4	1.800264350467067	1.6281222224026841
5	1.718495357003444	1.9241736988482583
6	1.7447771688286298	1.577601923381719
7	1.4459270952151897	2.8943655101756605
8	1.560716915102037	1.7146393577092705
9	2.036937577598113	1.6843540021307553
10	1.990367100746258	
11	2.0161698995889656	
12	2.2615985433890735	
13	1.469390124066553	
14	1.3940448802127072	
15	1.3981147332953756	
16	2.2910380765936402	
17	1.2999402087551881	
18	1.368354858491374	
19	1.8281411124003368	
20	1.8364806746091824	
21	1.9115988618580548	
22	2.7936928760803705	
23	2.2713913787615816	
24	2.5497415532186527	
25	2.1871382430797177	
26	2.0466906837357355	
27	2.094124261274221	
28	2.2233022131153843	
29	2.57719894842192	
30	2.318339651171562	
31	1.6310342102431585	
32	1.9614359145550244	
33	1.9430923912671394	
34	1.7786483285729573	
